idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
30,-105.39028,39.92381,0.70422,0.9043,0.47455,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.60839,0.74834,0.4673,0.48143
263,-105.5681,39.95266,0.70422,0.83711,0.3703,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.63269,0.51676,0.48708,0.51047
548,-105.46511,39.98149,0.70422,0.0,0.38862,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.72187,0.76965,0.40097,0.40101
1095,-105.3901,40.03908,0.70422,0.73164,0.39039,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.49885,0.91761,0.37501,0.38477
1101,-105.33386,40.03902,0.763,0.93294,0.47292,0.49925,0.0,0.91014,0.38876,0.36935,0.62088,0.21691,0.30895,0.49084,0.43744,0.45675
1340,-105.51195,40.06795,0.763,0.0,0.0,0.49925,0.0,0.91014,0.38876,0.36935,0.62088,0.21691,0.78689,0.0866,0.37793,0.39219
1596,-105.48382,40.09677,0.763,0.0,0.36921,0.49925,0.0,0.91014,0.38876,0.36935,0.62088,0.21691,0.77535,0.17416,0.41218,0.42583
1795,-105.38997,40.11833,0.0,0.0,0.35686,0.31275,0.0,0.16411,0.079,0.0,0.16072,0.36501,0.32632,0.88096,0.31451,0.31805
1931,-105.28671,40.1326,0.763,0.92819,0.4679,0.49925,0.0,0.91014,0.38876,0.36935,0.62088,0.21691,0.21257,0.36867,0.51255,0.54377
2175,-105.45563,40.1616,0.0,0.0,0.3946,0.31275,0.0,0.16411,0.079,0.0,0.16072,0.36501,0.76463,0.18121,0.2456,0.24864
2504,-105.53076,40.19762,0.0,0.0,0.40451,0.31275,0.0,0.16411,0.079,0.0,0.16072,0.36501,0.69051,0.31736,0.36444,0.38076
2668,-105.25828,40.21179,0.27216,0.86575,0.38523,0.12855,0.82286,0.54201,0.01982,0.19221,0.4189,0.16764,0.47414,0.89412,0.47782,0.48167
2801,-105.26763,40.22621,0.27216,0.0,0.53645,0.12855,0.82286,0.54201,0.01982,0.19221,0.4189,0.16764,0.20795,0.13655,0.36044,0.35485
2867,-105.277,40.23343,0.27216,0.9043,0.52491,0.12855,0.82286,0.54201,0.01982,0.19221,0.4189,0.16764,0.20877,0.37682,0.40428,0.41056
2906,-105.53078,40.24084,0.0,0.0,0.39718,0.31275,0.0,0.16411,0.079,0.0,0.16072,0.36501,0.69051,0.14931,0.35542,0.37295
