idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
239,-105.1656,39.945,0.51147,0.7858,0.50685,0.15271,0.0,0.46016,0.27162,0.85231,0.35062,0.61599,0.79245,0.89942,0.50761,0.5402
336,-105.51194,39.95988,0.70422,0.0,0.66581,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.72187,0.15339,0.42213,0.42658
502,-105.24974,39.97403,0.18854,0.0,0.47821,0.80318,0.0,0.80358,0.18271,0.51025,0.32157,0.03665,0.48161,0.99267,0.40254,0.41762
652,-105.13729,39.98814,0.80318,0.0,0.60866,0.54065,0.0,0.42242,0.19044,0.55681,0.06624,0.32401,1.0,0.0,0.50426,0.5338
710,-105.24029,39.99562,0.84349,0.65169,0.60255,0.98792,0.0,0.40098,0.61205,0.73775,0.89982,0.97597,0.17497,0.80114,0.47937,0.48239
726,-105.09042,39.9952,0.8686,0.0,0.7182,0.45039,0.0,0.86915,0.8648,0.88245,0.80562,0.7011,0.56984,0.5131,0.55736,0.56443
775,-105.27774,40.0029,0.89344,0.85299,0.97109,0.84756,0.0,0.78621,0.65128,0.42704,0.99186,0.98805,0.79001,0.89548,0.65974,0.67836
977,-105.28704,40.02453,0.36555,0.95263,0.93674,0.28465,0.0,0.20673,0.1071,0.40953,0.39351,0.48812,0.7254,0.83575,0.49372,0.51699
980,-105.25893,40.02448,0.94855,0.94122,0.52477,0.95371,0.0,0.08172,0.65956,0.57785,0.97516,0.94394,0.94679,0.89331,0.64843,0.65452
1161,-105.37134,40.04627,0.70422,0.87471,0.43681,0.61395,0.0,0.48432,0.44129,0.0281,0.67789,0.09325,0.49844,0.73137,0.38113,0.39457
1301,-105.27755,40.06054,0.53563,0.88109,0.98507,0.75716,0.0,0.37749,0.82191,0.83847,0.47672,0.01656,0.76178,0.66391,0.58256,0.60808
1440,-105.17435,40.07471,0.57486,0.0,0.36976,0.06678,0.0,0.71182,0.57147,0.28451,0.57513,0.68427,0.01656,0.93593,0.29107,0.28775
2011,-105.12712,40.13941,0.40763,0.98887,0.0,0.40994,0.0,0.95982,0.93484,0.91693,0.7463,0.53278,0.2161,0.82775,0.55563,0.57845
2412,-105.11749,40.1826,0.23619,0.92046,0.59373,0.79544,0.81336,0.95032,0.88964,0.7839,0.7368,0.34505,0.88245,0.70612,0.70665,0.71167
2484,-105.07988,40.18968,0.33311,0.65169,0.8796,0.09407,0.0,0.82137,0.74874,0.46423,0.41102,0.50563,0.30542,0.73761,0.43463,0.44965
2800,-105.27703,40.22623,0.27216,0.7858,0.51269,0.12855,0.82286,0.54201,0.01982,0.19221,0.4189,0.16764,0.4622,0.18936,0.43424,0.44168
