idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
1839,-105.04677,39.33411,0.03736,0.65278,0.40507,0.48302,0.0,0.9118,0.88091,0.30465,0.90605,0.59565,0.04203,0.46255,0.5034,0.52243
2138,-104.86086,39.36928,0.35082,0.95976,0.0,0.91809,0.0,0.78229,0.97826,0.94755,0.97826,0.64864,0.85414,0.94054,0.60247,0.62748
2143,-104.81444,39.36901,0.70146,0.80744,0.81085,0.16149,0.82863,0.35369,0.72642,0.2028,0.14065,0.79181,0.69301,0.59673,0.48804,0.47778
2410,-104.90698,39.40555,0.97198,0.93839,0.53835,0.8439,0.0,0.25921,0.80187,0.15861,0.08712,0.69481,0.76468,0.99946,0.48463,0.49817
2525,-104.84182,39.41961,0.83312,0.0,0.45357,0.16149,0.0,0.5741,0.65798,0.47494,0.70756,0.13634,0.52596,0.90749,0.46794,0.48399
2693,-104.71152,39.44043,0.65116,0.74708,0.57015,0.35082,0.79899,0.42087,0.35531,0.38351,0.31974,0.41135,0.28328,0.93318,0.4857,0.47317
2877,-104.89713,39.47036,0.75319,0.0,0.75912,0.68116,0.0,0.22544,0.29316,0.18682,0.15754,0.49201,0.06772,0.61883,0.28169,0.28307
2909,-105.07374,39.47834,0.72786,0.97557,0.68295,0.16149,0.97485,0.83187,0.26783,0.44009,0.11532,0.32531,0.55434,0.95527,0.54336,0.53702
2991,-104.77612,39.48408,0.83312,0.65278,0.74367,0.16149,0.0,0.5741,0.65798,0.47494,0.70756,0.13634,0.64667,0.90318,0.46297,0.47125
3174,-104.79443,39.51302,0.56979,0.95563,0.71313,0.16149,0.0,0.4735,0.54931,0.68708,0.23567,0.29136,0.28813,0.89995,0.51945,0.55286
3179,-104.74792,39.51273,0.29513,0.0,0.61757,0.95994,0.0,0.98689,0.53602,0.55578,0.73828,0.93605,0.82648,0.65942,0.52975,0.54096
3204,-104.94322,39.52103,0.54374,0.74708,0.96228,0.53422,0.81768,0.66822,0.50997,0.80959,0.33842,0.77007,0.7478,0.68708,0.67002,0.66415
3298,-104.91519,39.5353,0.44207,0.65278,0.93228,0.18053,0.92474,0.60481,0.25148,0.61775,0.52919,0.37183,0.16742,0.57841,0.59245,0.59155
3335,-104.98958,39.54285,0.66984,0.74708,0.70631,0.36088,0.0,0.82181,0.47889,0.54572,0.85001,0.89851,0.39824,0.95401,0.58486,0.60289
3376,-105.02676,39.55022,0.4647,0.93533,0.60194,1.0,0.0,0.88558,0.30914,0.51949,0.75157,0.50799,0.73415,0.93857,0.60397,0.62262
3384,-104.9523,39.54989,0.15053,0.74708,0.62835,0.93659,0.74978,0.49344,0.11371,0.6005,0.2055,0.47404,0.09071,0.81211,0.4744,0.46706
3392,-104.87784,39.54952,0.50422,0.0,0.8642,0.92905,0.84552,0.12017,0.74331,0.98922,0.86761,0.97162,0.07293,0.52021,0.50942,0.47794
3400,-104.80338,39.5491,0.3377,0.97449,0.0,0.77834,0.75516,0.04724,0.60697,0.40219,0.26962,0.23082,0.806,0.98563,0.53523,0.52885
