provider,lat,lon,num_stops_per_week,score
Regional Transportation District,39.53621,-104.83656,18,1
Regional Transportation District,39.54395,-104.91772,120,1
Regional Transportation District,39.5365,-104.83709,19,1
Regional Transportation District,39.54439,-104.91853,117,1
Regional Transportation District,39.5389,-105.03625,100,1
Regional Transportation District,39.53807,-105.03534,97,1
Regional Transportation District,39.56316,-104.89701,96,1
Regional Transportation District,39.5361,-104.86096,18,1
Regional Transportation District,39.5613,-104.95977,89,1
Regional Transportation District,39.56062,-104.9603,95,1
Regional Transportation District,39.45688,-104.75648,11,1
Regional Transportation District,39.53986,-104.81109,8,1
Regional Transportation District,39.52024,-104.86572,1130,2
Regional Transportation District,39.52079,-104.86521,1026,2
Regional Transportation District,39.54985,-104.77384,30,1
Regional Transportation District,39.48472,-104.75877,6,1
Regional Transportation District,39.53177,-104.9867,23,1
Regional Transportation District,39.5274,-104.98253,23,1
Regional Transportation District,39.53613,-104.98519,21,1
Regional Transportation District,39.53232,-104.98613,21,1
Regional Transportation District,39.52415,-104.96452,23,1
Regional Transportation District,39.52681,-104.97401,23,1
Regional Transportation District,39.53523,-104.8732,21,1
Regional Transportation District,39.53646,-104.88607,21,1
Regional Transportation District,39.53654,-104.89354,21,1
Regional Transportation District,39.53657,-104.90172,21,1
Regional Transportation District,39.53631,-104.89238,23,1
Regional Transportation District,39.53623,-104.8861,23,1
Regional Transportation District,39.53613,-104.87213,18,1
Regional Transportation District,39.53868,-104.90894,21,1
Regional Transportation District,39.5364,-104.86026,19,1
Regional Transportation District,39.50066,-104.76159,5,1
Regional Transportation District,39.49989,-104.7619,6,1
Regional Transportation District,39.53636,-104.81387,18,1
Regional Transportation District,39.54494,-104.86965,37,1
Regional Transportation District,39.5592,-104.87726,96,1
Regional Transportation District,39.56196,-104.87053,0,0
Regional Transportation District,39.55105,-105.00826,22,1
Regional Transportation District,39.55154,-105.00796,22,1
Regional Transportation District,39.52694,-104.77125,16,1
Regional Transportation District,39.53253,-104.77143,16,1
Regional Transportation District,39.56219,-104.87223,1028,2
Regional Transportation District,39.54635,-104.86962,1028,2
Regional Transportation District,39.51484,-104.79219,18,1
Regional Transportation District,39.51544,-104.79325,19,1
Regional Transportation District,39.56563,-104.98834,243,1
Regional Transportation District,39.52998,-104.76682,8,1
Regional Transportation District,39.53523,-104.80655,26,1
Regional Transportation District,39.53376,-104.79507,26,1
Regional Transportation District,39.53369,-104.79284,8,1
Regional Transportation District,39.53439,-104.80547,26,1
Regional Transportation District,39.56433,-104.8747,97,1
Regional Transportation District,39.53639,-104.81157,26,1
Regional Transportation District,39.51966,-104.76286,25,1
Regional Transportation District,39.52776,-104.77156,14,1
Regional Transportation District,39.53616,-104.84554,18,1
Regional Transportation District,39.53646,-104.84545,19,1
Regional Transportation District,39.54225,-104.87083,42,1
Regional Transportation District,39.55922,-104.99026,220,1
Regional Transportation District,39.54822,-105.00683,22,1
Regional Transportation District,39.54661,-105.0052,22,1
Regional Transportation District,39.55601,-105.00838,22,1
Regional Transportation District,39.54846,-105.00663,22,1
Regional Transportation District,39.55612,-105.00788,22,1
Regional Transportation District,39.52429,-104.95894,21,1
Regional Transportation District,39.52445,-104.95392,21,1
Regional Transportation District,39.52702,-104.97399,21,1
Regional Transportation District,39.52449,-104.96513,21,1
Regional Transportation District,39.52759,-104.98252,21,1
Regional Transportation District,39.52447,-104.95082,21,1
Regional Transportation District,39.54374,-104.91119,97,1
Regional Transportation District,39.54628,-104.90992,97,1
Regional Transportation District,39.54385,-104.91153,96,1
Regional Transportation District,39.54917,-104.91064,96,1
Regional Transportation District,39.54634,-104.91027,96,1
Regional Transportation District,39.55758,-104.90804,96,1
Regional Transportation District,39.55469,-104.91184,96,1
Regional Transportation District,39.55004,-104.91051,97,1
Regional Transportation District,39.55722,-104.90819,97,1
Regional Transportation District,39.55363,-104.989,7,1
Regional Transportation District,39.53051,-104.87336,21,1
Regional Transportation District,39.53028,-104.87306,23,1
Regional Transportation District,39.54466,-104.86963,44,1
Regional Transportation District,39.54634,-104.99188,21,1
Regional Transportation District,39.54515,-104.98006,8,1
Regional Transportation District,39.54149,-104.97896,8,1
Regional Transportation District,39.54007,-104.9825,8,1
Regional Transportation District,39.54107,-104.98587,8,1
Regional Transportation District,39.55054,-104.98372,8,1
Regional Transportation District,39.54953,-104.98156,8,1
Regional Transportation District,39.54889,-104.97964,8,1
Regional Transportation District,39.54678,-104.97998,8,1
Regional Transportation District,39.5111,-104.76366,23,1
Regional Transportation District,39.55662,-104.99004,24,1
Regional Transportation District,39.54905,-104.99074,97,1
Regional Transportation District,39.54842,-104.99623,464,1
Regional Transportation District,39.53458,-105.02759,97,1
Regional Transportation District,39.53332,-105.02192,97,1
Regional Transportation District,39.53747,-105.0318,97,1
Regional Transportation District,39.53595,-105.02938,97,1
Regional Transportation District,39.53802,-105.03364,97,1
Regional Transportation District,39.53625,-104.82295,18,1
Regional Transportation District,39.5365,-104.82397,19,1
Regional Transportation District,39.54261,-104.99141,21,1
Regional Transportation District,39.548,-104.99804,120,1
Regional Transportation District,39.54719,-104.99756,453,1
Regional Transportation District,39.55795,-104.78,14,1
Regional Transportation District,39.55738,-104.77907,16,1
Regional Transportation District,39.56182,-104.87228,1132,2
Regional Transportation District,39.52435,-104.79328,19,1
Regional Transportation District,39.53033,-104.79328,19,1
Regional Transportation District,39.51727,-104.78657,19,1
Regional Transportation District,39.51861,-104.79326,19,1
Regional Transportation District,39.53555,-104.98529,23,1
Regional Transportation District,39.55394,-104.991,24,1
Regional Transportation District,39.54176,-104.99146,30,1
Regional Transportation District,39.53957,-104.99004,23,1
Regional Transportation District,39.54644,-104.98051,96,1
Regional Transportation District,39.54723,-104.98401,96,1
Regional Transportation District,39.54832,-104.98684,96,1
Regional Transportation District,39.54454,-104.94539,96,1
Regional Transportation District,39.54043,-104.95531,96,1
Regional Transportation District,39.54061,-104.96187,96,1
Regional Transportation District,39.54442,-104.97174,96,1
Regional Transportation District,39.54596,-105.00577,100,1
Regional Transportation District,39.54284,-105.00986,100,1
Regional Transportation District,39.559,-104.98718,23,1
Regional Transportation District,39.54688,-104.99669,7,1
Regional Transportation District,39.55668,-104.99819,220,1
Regional Transportation District,39.55677,-104.99856,233,1
Regional Transportation District,39.55626,-104.99634,220,1
Regional Transportation District,39.52759,-104.76607,7,1
Regional Transportation District,39.54111,-104.91195,21,1
Regional Transportation District,39.55135,-104.98364,7,1
Regional Transportation District,39.54909,-104.97952,7,1
Regional Transportation District,39.54662,-104.97983,7,1
Regional Transportation District,39.55352,-104.99065,23,1
Regional Transportation District,39.55318,-104.98635,7,1
Regional Transportation District,39.54402,-104.92444,117,1
Regional Transportation District,39.54274,-104.9314,117,1
