idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
205,-104.63108,38.53499,0.72979,0.0,0.47525,0.19332,0.81797,0.65798,0.79432,0.53711,0.60148,0.5263,0.41709,0.46798,0.45923,0.43621
910,-104.45602,38.58399,0.28643,0.73819,0.48515,0.33651,0.0,0.90112,0.40136,0.22848,0.70132,0.08155,0.41682,0.47638,0.42034,0.438
1411,-104.35445,38.61907,0.28643,0.0,0.47504,0.33651,0.0,0.90112,0.40136,0.22848,0.70132,0.08155,0.41682,0.92488,0.38656,0.38994
1529,-104.17061,38.62431,0.28643,0.0,0.47408,0.33651,0.0,0.90112,0.40136,0.22848,0.70132,0.08155,0.4256,0.50993,0.37553,0.38369
2058,-104.71215,38.67251,0.0,0.90438,0.55375,0.08839,0.0,0.39392,0.56054,0.36877,0.389,0.93296,0.79731,0.13409,0.47751,0.49726
2061,-104.68457,38.67232,0.72979,0.0,0.0,0.19332,0.81797,0.65798,0.79432,0.53711,0.60148,0.5263,0.64054,0.91594,0.4424,0.42399
2157,-104.70287,38.67965,0.72979,0.88672,0.60752,0.19332,0.81797,0.65798,0.79432,0.53711,0.60148,0.5263,0.79731,0.12874,0.5814,0.58009
2158,-104.69368,38.67959,0.72979,0.0,0.54818,0.19332,0.81797,0.65798,0.79432,0.53711,0.60148,0.5263,1.0,0.0,0.58577,0.58515
2255,-104.70279,38.68686,0.60918,0.0,0.6262,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.6095,0.868,0.49798,0.48358
2353,-104.70271,38.69406,0.60918,0.81909,0.72711,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.6095,0.9184,0.57034,0.56786
2354,-104.69352,38.694,0.92284,0.0,0.627,0.26085,0.92616,0.29509,0.76018,0.68768,0.06239,0.23436,0.67291,0.06394,0.41949,0.4086
2451,-104.70263,38.70127,0.60918,0.88672,0.6186,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.65044,0.99085,0.58867,0.58703
2452,-104.69343,38.70121,0.92284,0.8391,0.59372,0.26085,0.92616,0.29509,0.76018,0.68768,0.06239,0.23436,0.67098,0.97721,0.52519,0.52037
2549,-104.70255,38.70848,0.60918,0.88672,0.6186,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.65044,0.99085,0.58867,0.58703
2550,-104.69335,38.70841,0.92284,0.0,0.59966,0.26085,0.92616,0.29509,0.76018,0.68768,0.06239,0.23436,0.70084,0.84654,0.48649,0.46421
2638,-104.78526,38.71622,0.0,0.0,0.0,0.08839,0.0,0.39392,0.56054,0.36877,0.389,0.93296,0.79731,0.14377,0.36402,0.37014
2647,-104.70247,38.71568,0.16705,0.0,0.0,0.4401,0.97705,0.50158,0.83343,0.48119,0.76542,0.75563,0.71903,0.47573,0.50628,0.47483
2648,-104.69327,38.71562,0.98892,0.73819,0.91032,0.13516,0.76467,0.69121,0.74905,0.67227,0.10948,0.50998,0.66446,0.93504,0.61443,0.61571
2735,-104.79438,38.72349,0.64113,0.0,0.64359,0.64006,0.9909,0.21114,0.61646,0.14426,0.83889,0.74172,0.91787,0.88164,0.56101,0.53035
2742,-104.72999,38.72308,0.60918,0.0,0.0,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.71919,0.77901,0.52058,0.50666
2743,-104.72079,38.72301,0.60918,0.0,0.0,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.71903,0.38804,0.50169,0.4907
2744,-104.71159,38.72295,0.47408,0.0,0.60447,0.48542,0.0,0.52657,0.7231,0.6834,0.62732,0.6071,0.55498,0.97806,0.4511,0.45681
2745,-104.70239,38.72289,0.16705,0.0,0.0,0.4401,0.97705,0.50158,0.83343,0.48119,0.76542,0.75563,0.67644,0.79362,0.55052,0.51561
2746,-104.69319,38.72283,0.98892,0.0,0.85992,0.13516,0.76467,0.69121,0.74905,0.67227,0.10948,0.50998,0.59944,0.94494,0.47185,0.45898
2747,-104.68399,38.72276,0.98892,0.0,0.81947,0.13516,0.76467,0.69121,0.74905,0.67227,0.10948,0.50998,0.60223,0.88089,0.47061,0.46269
2832,-104.80351,38.73075,0.64113,0.0,0.79116,0.64006,0.9909,0.21114,0.61646,0.14426,0.83889,0.74172,0.94184,0.61678,0.56387,0.53545
2833,-104.79431,38.73069,0.64113,0.89208,0.65306,0.64006,0.9909,0.21114,0.61646,0.14426,0.83889,0.74172,0.94184,0.96977,0.63691,0.61936
2835,-104.77591,38.73058,0.83118,0.0,0.0,0.08839,0.94355,0.02547,0.70747,0.48462,0.0,0.97196,0.94184,0.78736,0.46105,0.4429
2836,-104.76671,38.73052,0.83118,0.0,0.70967,0.08839,0.94355,0.02547,0.70747,0.48462,0.0,0.97196,0.94184,0.91637,0.52664,0.50757
2840,-104.72991,38.73028,0.60918,0.0,0.8864,0.52528,0.78634,0.7422,0.88041,0.89245,0.4843,0.3547,0.71903,0.60073,0.60622,0.59371
2841,-104.72071,38.73022,0.47408,0.0,0.67794,0.48542,0.0,0.52657,0.7231,0.6834,0.62732,0.6071,0.55493,0.92118,0.45965,0.46576
2842,-104.71151,38.73016,0.47408,0.78661,0.71823,0.48542,0.0,0.52657,0.7231,0.6834,0.62732,0.6071,0.56975,0.98229,0.52315,0.53617
2843,-104.70231,38.7301,0.16705,0.85392,0.81636,0.4401,0.97705,0.50158,0.83343,0.48119,0.76542,0.75563,0.57108,0.08085,0.61843,0.59735
2844,-104.69311,38.73003,0.98892,0.0,0.79689,0.13516,0.76467,0.69121,0.74905,0.67227,0.10948,0.50998,0.6644,0.87019,0.57794,0.56868
2845,-104.68391,38.72997,0.98892,0.0,0.83316,0.13516,0.76467,0.69121,0.74905,0.67227,0.10948,0.50998,0.59923,0.80807,0.43954,0.42763
2930,-104.80344,38.73795,0.64113,0.0,0.53272,0.64006,0.9909,0.21114,0.61646,0.14426,0.83889,0.74172,0.91712,0.99925,0.55448,0.52276
2931,-104.79424,38.7379,0.64113,0.0,0.0,0.64006,0.9909,0.21114,0.61646,0.14426,0.83889,0.74172,0.94184,0.68714,0.50145,0.47254
2932,-104.78504,38.73784,0.83118,0.0,0.0,0.08839,0.94355,0.02547,0.70747,0.48462,0.0,0.97196,0.94184,0.92739,0.46805,0.4489
2933,-104.77584,38.73779,0.83118,0.0,0.57001,0.08839,0.94355,0.02547,0.70747,0.48462,0.0,0.97196,0.94184,0.91845,0.51511,0.49602
2938,-104.72983,38.73749,0.67735,0.87394,0.62047,0.51228,0.78003,0.72192,0.78276,0.51768,0.30146,0.77163,0.53411,0.90823,0.59014,0.57954
