osm_id,code,fclass,name,lon,lat
358916548,2082,school,Coal Creek Elementary School,-105.35583,39.90276
358918917,2082,school,Green Gables Elementary School,-105.0946,39.67945
1572278817,2501,supermarket,King Soopers,-105.08312,39.68153
1578762005,2303,cafe,Starbucks,-105.081,39.68279
1579202279,2083,kindergarten,Southwest Montessori Preschool,-105.0855,39.68102
358918863,2082,school,Lasley Cottage School,-105.06137,39.69304
358918868,2082,school,Bancroft School,-105.06304,39.69693
358918875,2082,school,Lasley Cottage School Number 3,-105.07165,39.69499
358918996,2082,school,Jefferson County Open School,-105.0836,39.7336
358919012,2082,school,Cleveland Heights Cottage School,-105.062,39.7162
358919027,2082,school,Molholm Elementary School,-105.06363,39.73107
358919031,2082,school,Saint Bernadette Catholic School,-105.07729,39.73397
929766837,2303,cafe,Einstein Brothers,-105.08109,39.72364
1553237339,2303,cafe,Starbucks,-105.08561,39.70961
1568512811,2303,cafe,House of Windsor,-105.08009,39.69722
1568785193,2083,kindergarten,Belmar Park Child Care,-105.08475,39.69696
1568915275,2501,supermarket,Carmine Lonardo's,-105.08044,39.68975
3415332760,2501,supermarket,Walmart Supercenter,-105.08039,39.7222
358919042,2082,school,Belmont Junior High School,-105.0571,39.74167
358919050,2082,school,Metropolitan Youth Education Center,-105.05776,39.74804
3358908363,2303,cafe,Starbucks,-105.05364,39.7503
3624003387,2083,kindergarten,Tiny Hearts Academy,-105.05409,39.75521
3630721055,2402,motel,,-105.06359,39.74011
3630721089,2402,motel,,-105.05814,39.74061
3630721501,2402,motel,,-105.0629,39.74058
3630721519,2402,motel,,-105.0584,39.74015
358918643,2082,school,Mount View Youth Services Center,-105.08776,39.64721
358918658,2082,school,Loretto Center,-105.07943,39.64165
358918666,2082,school,Colorado Academy,-105.06943,39.64804
358949330,2082,school,Peiffer Elementary School,-105.11444,39.6275
358949375,2082,school,Westgate Elementary School,-105.0925,39.66889
636178731,2501,supermarket,Safeway,-105.11149,39.62573
636435526,2303,cafe,Starbucks,-105.10927,39.62336
636435544,2501,supermarket,King Soopers,-105.10755,39.6232
1500986986,2082,school,Kumon Math & Reading,-105.11206,39.66995
5074283024,2501,supermarket,Trader Joe's,-105.08924,39.61166
1233520491,2303,cafe,Billy D's Coffee,-105.16388,39.81283
1234326671,2083,kindergarten,The Academy Early Childhood Education Center,-105.15843,39.81303
1495022213,2082,school,The Goddard School,-105.16405,39.85597
358918427,2082,school,Parmalee Elementary School,-105.26944,39.63832
358918469,2082,school,Ralston Elementary School,-105.29295,39.7168
358917140,2082,school,Lakewood Christian School,-105.1685,39.78256
358918493,2082,school,Red Rocks Elementary School,-105.19721,39.65665
358919326,2082,school,Western Bible Institute,-105.17638,39.62082
358949282,2082,school,Colorado Law Enforcement Training Academy,-105.17861,39.74694
358949306,2082,school,Kendallvue Elementary School,-105.15155,39.6305
358952449,2082,school,Compass Montessori Secondary School,-105.18961,39.77465
358952738,2110,hospital,Denver West Surgery Center,-105.15298,39.74642
2967793734,2303,cafe,Caribou Coffee,-105.16397,39.73201
2967816324,2501,supermarket,Whole Foods Market,-105.16134,39.73645
3015482483,2303,cafe,Full Steam Ahead,-105.20821,39.6979
