lat,lon
40.5764,-105.08827
40.58991,-105.07836
40.52408,-104.99618
40.40815,-104.99555
40.37879,-105.51355
40.34177,-105.60498
40.3295,-105.60142
40.32053,-105.62343
40.3104,-105.64036
40.31205,-105.6458
40.36008,-105.59682
40.35702,-105.61186
40.35615,-105.61574
40.35744,-105.61942
40.32278,-105.60511
40.32997,-105.59541
40.34612,-105.583
40.37883,-105.51485
40.36399,-105.54334
40.37897,-105.51421
40.39079,-105.56184
40.39953,-105.57474
40.40195,-105.58632
40.39516,-105.56469
40.38977,-105.56128
40.38448,-105.55677
40.3841,-105.54739
40.38342,-105.51918
40.37893,-105.51428
40.38291,-105.49821
40.379,-105.51412
40.37622,-105.52295
40.37706,-105.51935
40.37205,-105.50417
40.38363,-105.50419
40.38321,-105.5007
40.38246,-105.49799
40.38148,-105.49561
40.37872,-105.49222
40.37661,-105.48239
40.37787,-105.48709
40.39125,-105.49077
40.38982,-105.49313
40.38895,-105.48949
40.38717,-105.48896
40.38295,-105.49401
40.3798,-105.51536
40.33808,-105.53114
40.34696,-105.53234
40.36399,-105.54334
40.36399,-105.54333
40.36401,-105.5461
40.36221,-105.55285
40.35424,-105.56216
40.35842,-105.55667
40.3667,-105.56087
40.365,-105.53566
40.37254,-105.52308
40.37646,-105.52251
40.37621,-105.52418
40.37649,-105.52692
40.37639,-105.52966
40.3409,-105.57427
40.37884,-105.5138
40.36786,-105.4926
40.37887,-105.51382
40.35902,-105.50415
40.3578,-105.55819
40.34979,-105.56793
40.35988,-105.53804
40.37141,-105.51586
40.37484,-105.50973
40.37289,-105.5044
40.36903,-105.50007
40.37679,-105.52131
40.37862,-105.53343
40.37658,-105.53102
40.37621,-105.52835
40.37608,-105.52451
40.57163,-105.05779
40.52344,-105.08714
40.52346,-105.07992
40.57466,-105.07696
40.57837,-105.07689
40.56738,-105.09681
40.56742,-105.10174
40.57487,-105.11763
40.56758,-105.12884
40.56751,-105.12178
40.53829,-105.09693
40.56092,-105.11502
40.56673,-105.09619
40.55709,-105.1152
40.55273,-105.11341
40.5527,-105.10906
40.55268,-105.07883
40.58866,-105.07716
