geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
8123000100,123,0.18021,0,0.71037,0,0.23349,0,0.35925,0,0.15797,0,0.01234,1,0.02398,1,0.4859,0,0.46157,0,0.00953,0,0.19121,0,0.12218,0.00756,2468,1.49148,1654.72994,0.48748,0.37819,0.0,0.38182
8123000200,123,0.08854,0,0.93894,0,0.09756,0,0.49836,0,0.73884,0,0.01987,0,0.03819,0,0.32748,0,0.56155,0,0.017,0,0.52148,0,0.003,0.01454,3207,0.88946,3605.54173,0.45616,0.38563,0.0,0.42956
8123000300,123,0.02191,1,,1,,1,,1,0.98057,0,0.00868,1,0.0678,0,0.14758,0,0.73171,0,0.01175,0,0.64925,0,0.00307,0.00784,1869,0.62776,2977.25639,0.54336,0.40763,0.0,0.46092
8123000401,123,0.04428,1,0.95597,0,0.06828,0,0.19925,0,0.17959,0,0.00273,1,0.05209,1,0.19019,0,0.69897,0,0.01282,0,0.02953,0,0.00788,0.01894,3166,1.81023,1748.94587,0.61812,0.39635,0.0,0.45183
8123000402,123,0.07005,1,0.97218,0,0.09091,0,0.19935,0,0.16112,0,0.03227,1,0.08342,1,0.32224,0,0.54816,0,0.01284,0,0.0,1,0.0343,0.01649,3362,1.63643,2054.47698,0.52673,0.39167,0.01227,0.38038
8123000501,123,0.23928,0,0.86809,0,0.1451,0,0.35483,0,0.10334,0,0.0,1,0.03061,1,0.8565,0,0.1098,0,0.00757,0,0.67484,0,0.00135,0.00272,3128,0.98496,3175.77154,0.54046,0.43145,0.02642,0.36759
8123000502,123,0.13812,0,0.85692,0,0.19614,0,0.24707,0,0.0794,0,0.01759,1,0.01492,1,0.70397,0,0.24913,0,0.00968,0,0.48829,0,0.00774,0.00511,3313,1.35503,2444.95686,0.55236,0.4207,0.02496,0.36224
8123000600,123,0.15749,0,0.85375,0,0.18473,0,0.2507,0,0.12577,0,0.0,1,0.0391,0,0.61846,0,0.33161,0,0.00782,0,0.0,1,0.06601,0.0059,1634,4.82996,338.30513,0.51192,0.44825,0.02278,0.32605
8123000701,123,0.18151,0,0.90182,0,0.1445,0,0.20888,0,0.12331,0,0.0045,1,0.0,1,0.70649,0,0.22672,0,0.00488,0,0.0,1,0.02729,0.00505,1602,3.27572,489.0522,0.49376,0.41367,0.0,0.40682
8123000703,123,0.2534,0,0.98487,0,0.12056,0,0.20788,0,0.0823,0,0.0038,1,0.0364,1,0.66715,0,0.28022,0,0.01655,0,0.25531,0,0.01516,0.01461,6796,5.51906,1231.36815,0.53124,0.47646,0.00923,0.44185
8123000704,123,0.10603,0,1.0,0,0.10952,0,0.01242,1,0.10648,0,0.0,1,0.0,1,0.56256,0,0.43744,0,0.00321,0,0.0,1,0.00207,0.0039,661,2.0185,327.47097,0.51329,0.45299,0.01972,0.41536
8123000705,123,0.08015,0,1.0,0,0.06569,1,0.05635,0,0.08131,0,0.00999,1,0.0,1,0.24108,0,0.74893,0,0.00543,0,0.0,1,0.02896,0.01088,1541,89.03399,17.308,0.59805,0.44214,0.0,0.42622
8123000800,123,0.09381,0,0.86349,0,0.10174,0,0.44053,0,0.41949,0,0.0142,1,0.04227,0,0.35786,0,0.55534,0,0.01329,0,0.43201,0,0.04024,0.01521,3401,1.82401,1864.57275,0.51046,0.41898,0.0,0.43002
8123000900,123,0.03947,1,0.94614,0,0.15529,0,0.1623,0,0.09104,0,0.00291,1,0.00436,1,0.38947,0,0.59686,0,0.01088,0,0.1525,0,0.002,0.01352,2806,1.49412,1878.03355,0.61102,0.48308,0.0,0.44966
8123001003,123,0.1824,0,0.92357,0,0.07526,0,0.30483,0,0.1238,0,0.02619,1,0.06221,1,0.65009,0,0.22243,0,0.01162,0,0.06228,0,0.00371,0.0128,4718,1.31768,3580.53322,0.47165,0.37627,0.0439,0.36589
8123001004,123,0.21017,0,0.95684,0,0.09003,0,0.18225,0,0.12461,0,0.05638,1,0.03356,1,0.51029,0,0.37718,0,0.01205,0,0.45957,0,0.01733,0.00706,4433,4.42194,1002.50125,0.55803,0.42899,0.01358,0.40093
8123001005,123,0.11319,0,0.97934,0,0.10348,0,0.13402,1,0.08232,0,0.0528,0,0.0,1,0.4824,0,0.4235,0,0.02161,0,0.0,1,0.03424,0.03331,6459,8.18856,788.78291,0.60556,0.48374,0.00241,0.45557
8123001006,123,0.08075,0,0.92312,0,0.10141,0,0.12356,0,0.07376,0,0.00822,1,0.00254,1,0.49579,0,0.46742,0,0.01613,0,0.30864,0,0.01307,0.01187,4431,2.71931,1629.45835,0.59999,0.47372,0.0219,0.45012
8123001100,123,0.05745,0,0.92975,0,0.11727,0,0.17544,0,0.08948,0,0.00613,1,0.00328,1,0.33669,0,0.63793,0,0.01718,0,0.08997,0,0.01119,0.01819,4503,2.55264,1764.05697,0.64019,0.37701,0.0,0.44166
8123001201,123,0.02855,1,0.94118,0,0.06317,0,0.21283,0,0.13258,0,0.03115,1,0.0099,1,0.29848,0,0.63922,0,0.01396,0,0.18575,0,0.00717,0.01244,3802,1.5039,2528.08674,0.58065,0.41064,0.00655,0.36419
8123001202,123,0.02256,1,0.92926,0,0.16143,0,0.04863,0,0.07665,0,0.0,1,0.05874,1,0.18517,0,0.73281,0,0.01103,0,0.0,1,0.00799,0.01267,2785,1.47737,1885.11171,0.65918,0.39956,0.0,0.46469
8123001300,123,0.12605,0,0.93712,0,0.14475,0,0.21039,0,0.12105,0,0.0,1,0.00708,1,0.54295,0,0.42767,0,0.02101,0,0.22948,0,0.011,0.01745,6458,4.79435,1347.00358,0.56116,0.42988,0.01161,0.38829
8123001404,123,0.04504,0,0.98281,0,0.11566,0,0.15464,0,0.07297,0,0.00187,1,0.0,1,0.33271,0,0.66199,0,0.01103,0,0.42985,0,0.00107,0.00629,2613,17.94431,145.61716,0.69082,0.43766,0.02696,0.47516
8123001405,123,0.06686,0,0.96824,0,0.05644,0,0.04545,0,0.08155,0,0.00201,1,0.00691,1,0.27406,0,0.69229,0,0.01516,0,0.35285,0,0.00093,0.01318,3781,3.8082,992.85658,0.63456,0.46443,0.0,0.44892
8123001406,123,0.0668,0,0.97106,0,0.08645,0,0.08256,0,0.09101,0,0.01068,1,0.00207,1,0.29104,0,0.67644,0,0.02312,0,0.10899,0,0.0148,0.02406,5306,7.42583,714.53299,0.64002,0.43394,0.0072,0.51003
8123001407,123,0.01093,1,1.0,0,0.08144,0,0.02172,1,0.09814,0,0.00846,1,0.00338,1,0.19932,0,0.77902,0,0.01045,0,0.08914,0,0.00136,0.00993,1933,3.99597,483.7373,0.74359,0.42367,0.00332,0.60557
8123001408,123,0.0387,0,0.97477,0,0.15708,0,0.07068,1,0.03584,0,0.00775,1,0.01937,1,0.30024,0,0.63971,0,0.00772,0,0.0,1,0.01088,0.00585,2046,3.24772,629.97978,0.79781,0.45979,0.0,0.69272
8123001409,123,0.02925,1,0.99032,0,0.07741,0,0.10846,0,0.12885,0,0.00977,1,0.00296,1,0.29562,0,0.67417,0,0.0126,0,0.40847,0,0.01897,0.00668,3267,2.87264,1137.28286,0.78372,0.4369,0.0,0.56757
8123001410,123,0.04305,1,0.96643,0,0.06952,0,0.0294,0,0.04778,0,0.00611,1,0.01917,1,0.21972,0,0.75167,0,0.01307,0,0.0,1,0.01799,0.00906,3005,3.07577,976.99046,0.82854,0.55411,0.0,0.62638
8123001411,123,0.00786,1,0.97862,0,0.05897,0,0.04034,0,0.10488,0,0.00576,1,0.0,1,0.2159,0,0.76566,0,0.01016,0,0.0,1,0.02175,0.0082,2433,2.57511,944.81469,0.73215,0.39721,0.00365,0.55504
8123001412,123,0.0247,1,0.95028,0,0.03482,0,0.05953,1,0.07111,0,0.00449,1,0.00483,1,0.19779,0,0.76251,0,0.01078,0,0.0,1,0.0183,0.0113,2309,5.24595,440.14865,0.72698,0.44468,0.01081,0.5718
8123001413,123,0.08705,0,0.98861,0,0.08328,0,0.07608,0,0.03526,0,0.02363,1,0.0,1,0.25571,0,0.70438,0,0.00946,0,0.24743,0,0.00628,0.00754,2791,1.41933,1966.42455,0.67566,0.49434,0.0,0.39155
8123001414,123,0.0337,1,0.99386,0,0.08914,0,0.04016,0,0.04704,0,0.0,1,0.0,1,0.23868,0,0.75261,0,0.00807,0,0.74283,0,0.00657,0.00183,2152,1.40438,1532.34592,0.76291,0.63059,0.02477,0.61074
8123001415,123,0.01987,1,1.0,0,0.02474,1,0.03603,1,0.03972,0,0.00482,1,0.0,1,0.17106,0,0.76794,0,0.01272,0,0.0,1,0.00103,0.01035,3736,2.21609,1685.84896,0.77283,0.59121,0.0,0.58763
8123001416,123,0.0,1,0.99724,0,0.12549,0,0.03491,0,0.05806,0,0.00455,1,0.00342,1,0.14156,0,0.82922,0,0.01038,0,0.0,1,0.00802,0.01397,1999,15.74954,126.92435,0.77354,0.53365,0.01906,0.5719
8123001417,123,0.05166,1,0.97886,0,0.06948,0,0.15923,0,0.06519,0,0.03086,1,0.0,1,0.41817,0,0.52809,0,0.00891,0,0.0,1,0.00071,0.00981,2294,1.78944,1281.96379,0.68042,0.47699,0.0,0.44342
8123001500,123,0.04452,1,0.97722,0,0.08792,0,0.07126,1,0.0759,0,0.00736,1,0.00763,1,0.20153,0,0.77149,0,0.02569,0,0.21974,0,0.03582,0.02049,6547,170.81749,38.32746,0.73132,0.511,0.0,0.51736
8123001600,123,0.05167,0,0.98293,0,0.10187,0,0.07355,0,0.06515,0,0.0,1,0.00288,1,0.23621,0,0.75692,0,0.0163,0,0.54536,0,0.01331,0.00518,4346,242.79035,17.90022,0.73262,0.499,0.0,0.54751
